Epo_degradation_BaF3,k_exp_hetero,k_exp_homo,k_imp_hetero,k_imp_homo,k_phos,sd_pSTAT5A_rel,sd_pSTAT5B_rel,sd_rSTAT5A_rel,Start_guess
-4.1,-1.4999999999999996,1.0999999999999996,-0.7000000000000002,-0.2999999999999998,1.5,-0.8999999999999995,4.699999999999999,0.8999999999999995,1
-0.7000000000000002,-0.7000000000000002,0.7000000000000011,-1.2999999999999998,-2.9,3.1000000000000014,-0.09999999999999964,-0.7000000000000002,1.0999999999999996,2
-3.1,3.9000000000000004,-1.2999999999999998,-2.9,-4.9,-4.5,-1.9,-3.9,-2.9,3
0.8999999999999995,2.3,0.09999999999999964,4.699999999999999,-1.4999999999999996,2.9000000000000004,0.09999999999999964,-1.4999999999999996,0.5,4
-1.9,4.5,1.5,1.9000000000000004,-0.7000000000000002,2.7,4.300000000000001,-2.6999999999999997,-4.9,5
-3.3,3.1000000000000014,3.6999999999999993,-1.6999999999999997,-3.5,4.1,1.7000000000000002,-2.5,-3.5,6
-1.2999999999999998,4.9,2.9000000000000004,0.8999999999999995,-0.8999999999999995,-4.7,3.5,4.5,-2.3,7
-1.4999999999999996,-4.5,-0.8999999999999995,0.3000000000000007,2.5,3.9000000000000004,1.2999999999999998,-3.1,-1.4999999999999996,8
4.300000000000001,1.7000000000000002,4.699999999999999,-0.2999999999999998,-3.9,0.8999999999999995,-1.6999999999999997,1.5,2.3,9
1.9000000000000004,-2.3,1.9000000000000004,4.5,3.1000000000000014,1.2999999999999998,4.9,-2.9,-4.7,10
4.9,-4.9,-3.3,1.7000000000000002,-1.2999999999999998,1.9000000000000004,2.5,4.1,-1.6999999999999997,11
0.09999999999999964,4.300000000000001,0.5,-2.6999999999999997,-1.9,-2.6999999999999997,2.7,-1.0999999999999996,-2.0999999999999996,12
3.5,3.5,-3.7,3.5,-1.0999999999999996,-3.1,-4.5,-4.1,-0.09999999999999964,13
-2.3,3.6999999999999993,-2.3,-3.3,1.0999999999999996,4.5,-3.5,2.7,1.7000000000000002,14
-4.3,1.9000000000000004,4.300000000000001,-0.09999999999999964,0.5,-2.5,1.5,-2.0999999999999996,1.5,15
2.1000000000000005,1.0999999999999996,-3.5,-0.8999999999999995,-2.6999999999999997,-2.9,3.6999999999999993,3.5,4.300000000000001,16
4.699999999999999,0.3000000000000007,-4.9,-4.7,3.3000000000000007,-4.3,4.1,1.7000000000000002,-4.1,17
