log10_Epo_degradation_BaF3,log10_k_exp_hetero,log10_k_exp_homo,log10_k_imp_hetero,log10_k_imp_homo,log10_k_phos,log10_sd_pSTAT5A_rel,log10_sd_pSTAT5B_rel,log10_sd_rSTAT5A_rel,startguess
-1.25,-0.9499999999999993,-3.55,0.5500000000000007,-0.8499999999999996,-4.95,-3.05,2.3499999999999996,2.45,1
0.25,2.1499999999999995,4.550000000000001,4.350000000000001,-2.1499999999999995,-1.9500000000000002,0.9499999999999993,-1.0499999999999998,3.4499999999999993,2
-4.95,-3.65,2.1499999999999995,1.0499999999999998,-2.25,0.35000000000000053,-2.85,-0.25,-2.9499999999999997,3
2.0500000000000007,3.5500000000000007,1.0499999999999998,1.5500000000000007,0.25,1.950000000000001,-0.15000000000000036,0.6500000000000004,4.75,4
2.25,-3.25,-0.5499999999999998,-0.34999999999999964,-3.25,-4.05,-2.1499999999999995,-3.3499999999999996,-3.3499999999999996,5
-2.9499999999999997,1.0499999999999998,-4.65,-4.65,4.75,1.6500000000000004,0.8499999999999996,0.4500000000000002,-1.35,6
-3.25,-1.4499999999999997,1.75,2.1499999999999995,3.8499999999999996,-2.25,3.3500000000000014,-3.55,0.7500000000000009,7
4.550000000000001,0.5500000000000007,1.8500000000000005,4.65,2.45,-3.75,0.25,4.949999999999999,-1.25,8
-0.5499999999999998,2.6500000000000004,-1.15,2.95,3.1500000000000004,-3.95,-3.15,2.45,1.4500000000000002,9
-0.75,-1.75,-0.9499999999999993,-0.15000000000000036,-2.9499999999999997,-3.55,-0.8499999999999996,-2.9499999999999997,3.8499999999999996,10
-3.65,-4.65,-4.15,-2.9499999999999997,-0.5499999999999998,1.25,0.35000000000000053,2.25,1.5500000000000007,11
-3.45,0.6500000000000004,-3.25,-4.55,-2.3499999999999996,-4.55,-4.45,-2.3499999999999996,-3.25,12
2.55,1.3499999999999996,-1.65,-2.85,1.6500000000000004,-4.15,2.1499999999999995,3.6500000000000004,-0.25,13
-3.55,2.45,-3.75,2.3499999999999996,0.9499999999999993,2.95,-1.9500000000000002,-0.9499999999999993,1.25,14
4.65,-1.15,0.8499999999999996,0.8499999999999996,-1.15,2.25,-0.9499999999999993,-2.75,4.450000000000001,15
-0.34999999999999964,-0.34999999999999964,-0.6500000000000004,-3.65,2.1499999999999995,-2.75,-4.85,-3.8499999999999996,3.5500000000000007,16
-1.4499999999999997,4.85,-3.15,-0.9499999999999993,-4.45,2.3499999999999996,2.6500000000000004,-4.65,-1.85,17
4.85,-0.8499999999999996,-2.9499999999999997,3.5500000000000007,1.950000000000001,-0.25,-2.3499999999999996,4.65,3.3500000000000014,18
-3.75,-2.45,-4.75,3.8499999999999996,-1.35,4.25,2.75,-1.4499999999999997,2.0500000000000007,19
-4.85,4.550000000000001,-2.25,-1.15,3.4499999999999993,0.04999999999999982,-2.65,0.25,4.65,20
0.35000000000000053,-1.25,2.95,-2.25,-2.0500000000000003,2.55,0.6500000000000004,3.5500000000000007,2.8500000000000005,21
3.1500000000000004,-4.75,-2.85,-3.75,-0.04999999999999982,0.5500000000000007,1.950000000000001,2.8500000000000005,-3.55,22
0.7500000000000009,-3.8499999999999996,3.5500000000000007,-2.55,1.3499999999999996,2.0500000000000007,-4.65,-1.5499999999999998,3.9499999999999993,23
1.75,1.75,3.75,-0.4500000000000002,2.6500000000000004,-1.0499999999999998,1.4500000000000002,-4.35,-4.65,24
-4.65,0.7500000000000009,4.65,1.8500000000000005,-0.34999999999999964,3.4499999999999993,-1.75,-0.75,1.75,25
0.04999999999999982,-2.3499999999999996,-0.34999999999999964,4.25,-3.55,1.8500000000000005,1.75,3.8499999999999996,-1.5499999999999998,26
-2.65,1.1500000000000004,-3.95,-4.75,-1.25,2.8500000000000005,3.4499999999999993,-0.15000000000000036,-2.75,27
-3.15,-0.04999999999999982,1.3499999999999996,-3.05,-4.95,-0.8499999999999996,1.3499999999999996,-3.75,4.949999999999999,28
-2.0500000000000003,-4.55,4.25,-1.65,-1.65,0.8499999999999996,2.55,-1.65,3.75,29
-0.25,1.5500000000000007,-1.75,0.35000000000000053,0.8499999999999996,-4.85,4.350000000000001,1.1500000000000004,-3.15,30
-0.9499999999999993,0.35000000000000053,2.6500000000000004,4.050000000000001,-4.35,-1.65,0.15000000000000036,1.3499999999999996,3.25,31
-4.05,0.15000000000000036,0.9499999999999993,-4.35,4.050000000000001,0.25,-1.0499999999999998,-1.15,-1.65,32
-3.95,-3.05,2.45,2.8500000000000005,-4.15,1.1500000000000004,-2.9499999999999997,-4.05,0.4500000000000002,33
3.3500000000000014,4.65,-0.8499999999999996,-4.25,3.25,4.050000000000001,1.5500000000000007,1.6500000000000004,-0.75,34
-2.45,1.8500000000000005,-4.45,-1.4499999999999997,3.0500000000000007,-3.15,1.0499999999999998,-1.75,-4.45,35
1.4500000000000002,4.949999999999999,-0.04999999999999982,1.6500000000000004,-3.3499999999999996,3.9499999999999993,4.550000000000001,-1.25,-2.0500000000000003,36
-4.75,0.8499999999999996,-0.4500000000000002,-2.65,3.6500000000000004,4.75,-1.85,4.450000000000001,-4.55,37
-2.85,1.6500000000000004,-2.75,3.25,-4.55,0.7500000000000009,-3.65,0.04999999999999982,0.04999999999999982,38
0.5500000000000007,3.6500000000000004,-3.8499999999999996,3.3500000000000014,-3.05,0.9499999999999993,-2.25,1.5500000000000007,-2.45,39
2.95,1.4500000000000002,3.9499999999999993,-4.85,-2.75,-4.45,-4.35,-2.1499999999999995,2.3499999999999996,40
-1.35,4.75,-1.25,1.1500000000000004,4.25,-4.65,0.7500000000000009,2.95,2.6500000000000004,41
1.0499999999999998,-1.35,-3.05,2.45,-3.8499999999999996,-2.45,-0.25,1.25,-3.05,42
1.950000000000001,0.4500000000000002,4.15,-4.95,-2.85,-2.65,3.25,0.7500000000000009,-0.5499999999999998,43
3.5500000000000007,2.75,0.7500000000000009,-1.75,-3.15,-0.6500000000000004,2.25,4.050000000000001,-4.75,44
