log10_Epo_degradation_BaF3,log10_k_exp_hetero,log10_k_exp_homo,log10_k_imp_hetero,log10_k_imp_homo,log10_k_phos,log10_sd_pSTAT5A_rel,log10_sd_pSTAT5B_rel,log10_sd_rSTAT5A_rel,ftrace,startguess
-1.25,-0.9499999999999993,-3.55,0.5500000000000007,-0.8499999999999996,-4.95,-3.05,2.3499999999999996,2.45,5.602889880790294e10,1
-0.1470280620842055,-0.06620017372841458,-2.3795691775812773,0.013151599461740382,-0.047703822691431585,-4.90025252551066,-2.83281698016431,0.850380017048485,0.9487041597165464,2.0608484652722054e10,1
-0.13140744197194013,-0.059341173728413625,-2.0216581775812736,0.011819811601443525,-0.04279596401200148,-3.9300029529141978,-2.6156744290706113,0.7469607641919969,0.8310838661009996,7.581602264422194e9,1
-0.019761091944171805,-0.008867902146116692,-0.3021151380239988,0.0016868738183700282,-0.006438744546321436,-0.587167263777574,-2.3985078542893694,0.12588674981077763,0.12544038205839658,2.788880293513733e9,1
-0.019398616695498413,-0.007868567957145847,-0.2680694376052535,0.00023977530249024337,-0.00631718933896483,-0.5197233966081669,-2.181362681939176,0.17220669637680133,0.12074551936098386,1.0259889405447468e9,1
-0.0644796661092474,-0.0008464341609488975,-0.028837121809500044,-0.04244266741200349,-0.02039418713701781,-0.011187834076630154,-1.9642054958891249,0.28430139793349424,0.10349146942886298,3.7742540034234697e8,1
-0.054409256426994936,-0.0007545849646504621,-0.025707398844528207,-0.03558424771262491,-0.0173571017711883,-0.01283812132506056,-1.7470594803689348,0.4089097212436804,0.16499658054820887,1.3885002290935954e8,1
-0.00173873977038793,-5.6806716530829094e-5,-0.0019299135137764885,0.16601687403119852,0.05186012551440116,-0.18685652748926943,-1.5299055378650077,0.5638782728180982,0.29421450632932433,5.1079450027718306e7,1
-0.005347138799813996,-5.0819863422551476e-5,-0.0017259979510399614,0.14576858199179782,0.045215526895351944,-0.1644795738146602,-1.3127593674405382,0.7300650317728121,0.4251344084480383,1.8791536828033853e7,1
-0.6573647984194925,-2.6152686421406047e-6,-8.521500788355235e-5,-0.4266144504098494,-0.21284047033435147,0.4834574225026782,-1.0956117719352916,0.9011185104093433,0.5815266661385761,6.912031944277375e6,1
-0.6482723275726082,-2.6250023061536843e-6,-7.551125692119894e-5,-0.44040802306639987,-0.20665530168655435,0.47439025426324577,-0.8784648950586793,1.0836494567517796,0.745573631210516,2.5429133659461127e6,1
-0.620107284709312,9.770641905632694e-6,6.731847222312353e-6,-0.4150671731133876,-0.1342806727691394,0.5170114928879758,-0.6613157065935684,1.2585812905266893,0.906217507716746,935578.9129092371,1
-0.6132353651876236,7.430503200090017e-6,8.100750525569502e-6,-0.4287672280471563,-0.13058489863963924,0.5063591813537737,-0.444170476600252,1.4353170899890448,1.0642211511686586,344279.21952288,1
-0.5914786830559422,-1.3853288297588352e-6,1.998292375482163e-5,-0.4266273248224704,-0.12421566449612335,0.5132680419044766,-0.22702673626074285,1.5819808494835115,1.184726065435835,126759.45489618777,1
-0.5870979720310376,-8.227252361865167e-6,3.198372131490989e-5,-0.43404572982485845,-0.12277937667271975,0.5066307651836823,-0.009893481428823875,1.6950113682707397,1.2663966266905355,46745.87922243939,1
-0.5728133547943384,-6.040190448506011e-5,0.00013808836692458476,-0.43123940058321236,-0.11721316529002208,0.5107098916126744,0.20721718888816665,1.7423169076938867,1.2902139701682256,17316.629888640797,1
-0.570955064224866,-0.00011796360252884128,0.0002532677877880414,-0.4313609292356524,-0.11727868142549948,0.5088682571058135,0.42426270338662314,1.7569931022788203,1.2979064954023902,6495.405903566765,1
-0.5613482415659063,-0.0006247066170060159,0.0012629103005880951,-0.42953378745818316,-0.11402588059928338,0.5110897971506984,0.6411346817938877,1.757647209732827,1.2981148268101876,2519.5474596168588,1
-0.5601169129035959,-0.0011824062382051596,0.002370961754935492,-0.42935209868997654,-0.11273451374625866,0.51237015043499,0.8575336341153286,1.75859838778348,1.298775473766177,1061.9445089102483,1
