kB,kD,kP,Start_guess
2.5372502018303322,2.162364073141978,1.5229635683295335,1
1.4779150224383386,-2.6412319303251475,1.0594483317254522,2
2.078782381314767,2.2243578611516845,-0.8608247515139276,3
-2.430548033306355,-0.21983509774211818,-2.9679272382890414,4
-2.4790751265146294,-1.8131054854330486,-2.2111275169740185,5
0.715018885179318,0.17363734836609135,-1.2126400958257786,6
-2.645215760929611,-2.825401334736474,-0.5433694631497179,7
-0.3221169428182815,0.8465599067478502,-2.7090624646247834,8
2.026394991067736,-1.5312874955932072,-0.11608937924635665,9
2.3893126906357995,-0.6644820200842156,1.5868133474059993,10
